,date,amount,positive_transactions,negative_transactions,balance_per_day,sum_outgoing_next_30_days,sum_income_next_30_days,negative_transaction_last_1_month,positive_transaction_last_1_month,negative_transaction_last_2_month,positive_transaction_last_2_month,negative_transaction_last_3_month,positive_transaction_last_3_month,negative_transaction_last_4_month,positive_transaction_last_4_month,negative_transaction_last_5_month,positive_transaction_last_5_month,negative_transaction_last_6_month,positive_transaction_last_6_month
120,2021-01-03,-17.0,0.0,-17.0,95.9800000000001,-627.65,641.6399999999999,-4411.79,4157.1,-5013.03,3475.7700000000004,-3908.24,4729.83,-973.2200000000003,2021.95,-3699.6800000000003,1823.59,-1171.4,1103.11
150,2021-02-02,8.0,40.0,-32.0,84.97000000000004,-2619.7299999999996,2546.6899999999996,-627.65,641.6399999999999,-4411.79,4157.1,-5013.03,3475.7700000000004,-3908.24,4729.83,-973.2200000000003,2021.95,-3699.6800000000003,1823.59
180,2021-03-04,-26.25,3.7,-29.95,46.18000000000008,-732.3100000000001,800.0,-2619.7299999999996,2546.6899999999996,-627.65,641.6399999999999,-4411.79,4157.1,-5013.03,3475.7700000000004,-3908.24,4729.83,-973.2200000000003,2021.95
210,2021-04-03,-131.6,0.0,-131.6,219.22000000000008,-519.15,508.9,-732.3100000000001,800.0,-2619.7299999999996,2546.6899999999996,-627.65,641.6399999999999,-4411.79,4157.1,-5013.03,3475.7700000000004,-3908.24,4729.83
240,2021-05-03,-92.50999999999999,0.0,-92.50999999999999,169.8800000000001,-1023.84,1110.2,-519.15,508.9,-732.3100000000001,800.0,-2619.7299999999996,2546.6899999999996,-627.65,641.6399999999999,-4411.79,4157.1,-5013.03,3475.7700000000004
0,2020-01-20,0.0,0.0,0.0,364.5700000000004,-3241.75,3313.5699999999997,-596.47,600.0,-1613.63,1416.0,-1912.58,2081.0,-929.4199999999998,964.0,-921.9800000000001,870.0,-2325.1800000000003,2825.0
30,2020-02-19,0.0,0.0,0.0,445.59000000000026,-1595.63,1550.0,-3241.75,3313.5699999999997,-596.47,600.0,-1613.63,1416.0,-1912.58,2081.0,-929.4199999999998,964.0,-921.9800000000001,870.0
60,2020-03-20,0.0,0.0,0.0,334.08000000000015,-752.79,730.0,-1595.63,1550.0,-3241.75,3313.5699999999997,-596.47,600.0,-1613.63,1416.0,-1912.58,2081.0,-929.4199999999998,964.0
90,2020-04-19,0.0,0.0,0.0,322.9700000000002,-262.85,270.0,-752.79,730.0,-1595.63,1550.0,-3241.75,3313.5699999999997,-596.47,600.0,-1613.63,1416.0,-1912.58,2081.0
120,2020-05-19,0.0,0.0,0.0,330.1200000000002,-1812.23,1904.0,-262.85,270.0,-752.79,730.0,-1595.63,1550.0,-3241.75,3313.5699999999997,-596.47,600.0,-1613.63,1416.0
150,2020-06-18,0.0,0.0,0.0,566.6100000000001,-2848.5399999999995,2750.0,-1812.23,1904.0,-262.85,270.0,-752.79,730.0,-1595.63,1550.0,-3241.75,3313.5699999999997,-596.47,600.0
180,2020-07-18,-23.7,0.0,-23.7,347.0500000000003,-1633.5100000000002,1785.0,-2848.5399999999995,2750.0,-1812.23,1904.0,-262.85,270.0,-752.79,730.0,-1595.63,1550.0,-3241.75,3313.5699999999997
210,2020-08-17,151.03,200.0,-48.97,323.8100000000003,-1267.9299999999998,1105.0,-1633.5100000000002,1785.0,-2848.5399999999995,2750.0,-1812.23,1904.0,-262.85,270.0,-752.79,730.0,-1595.63,1550.0
240,2020-09-16,-4.0,355.0,-359.0,315.91000000000025,-1248.46,1264.0,-1267.9299999999998,1105.0,-1633.5100000000002,1785.0,-2848.5399999999995,2750.0,-1812.23,1904.0,-262.85,270.0,-752.79,730.0
270,2020-10-16,2.6999999999999984,30.0,-27.3,324.7500000000002,-2131.07,2122.16,-1248.46,1264.0,-1267.9299999999998,1105.0,-1633.5100000000002,1785.0,-2848.5399999999995,2750.0,-1812.23,1904.0,-262.85,270.0
300,2020-11-15,0.0,0.0,0.0,350.9200000000002,-853.9499999999999,862.0,-2131.07,2122.16,-1248.46,1264.0,-1267.9299999999998,1105.0,-1633.5100000000002,1785.0,-2848.5399999999995,2750.0,-1812.23,1904.0
330,2020-12-15,0.0,0.0,0.0,327.1900000000001,-339.81,380.0,-853.9499999999999,862.0,-2131.07,2122.16,-1248.46,1264.0,-1267.9299999999998,1105.0,-1633.5100000000002,1785.0,-2848.5399999999995,2750.0
360,2021-01-14,0.0,0.0,0.0,366.7800000000001,-1420.7599999999998,1395.0,-339.81,380.0,-853.9499999999999,862.0,-2131.07,2122.16,-1248.46,1264.0,-1267.9299999999998,1105.0,-1633.5100000000002,1785.0
390,2021-02-13,0.0,0.0,0.0,397.2200000000001,-461.67999999999995,460.0,-1420.7599999999998,1395.0,-339.81,380.0,-853.9499999999999,862.0,-2131.07,2122.16,-1248.46,1264.0,-1267.9299999999998,1105.0
420,2021-03-15,-6.1200000000000045,70.0,-76.12,345.4600000000001,-1962.96,1805.0,-461.67999999999995,460.0,-1420.7599999999998,1395.0,-339.81,380.0,-853.9499999999999,862.0,-2131.07,2122.16,-1248.46,1264.0
450,2021-04-14,0.0,0.0,0.0,181.38000000000008,-1772.6900000000003,1610.0,-1962.96,1805.0,-461.67999999999995,460.0,-1420.7599999999998,1395.0,-339.81,380.0,-853.9499999999999,862.0,-2131.07,2122.16
480,2021-05-14,0.0,0.0,0.0,18.69000000000004,-872.39,872.0,-1772.6900000000003,1610.0,-1962.96,1805.0,-461.67999999999995,460.0,-1420.7599999999998,1395.0,-339.81,380.0,-853.9499999999999,862.0
0,2020-07-20,276.8,276.8,0.0,43165.85,-4720.21,3849.63,-1205.8799999999999,1436.8799999999999,-1956.26,2657.0699999999997,-3126.04,3121.5,-2781.5899999999997,2757.25,-2433.04,2462.67,-3790.69,2891.14
30,2020-08-19,-71.98,0.0,-71.98,42644.05000000001,-6437.99,6756.11,-4720.21,3849.63,-1205.8799999999999,1436.8799999999999,-1956.26,2657.0699999999997,-3126.04,3121.5,-2781.5899999999997,2757.25,-2433.04,2462.67
60,2020-09-18,225.85999999999999,341.58,-115.72,42664.330000000016,-7012.209999999999,6897.53,-6437.99,6756.11,-4720.21,3849.63,-1205.8799999999999,1436.8799999999999,-1956.26,2657.0699999999997,-3126.04,3121.5,-2781.5899999999997,2757.25
90,2020-10-18,-84.08,0.0,-84.08,42859.590000000026,-1991.3500000000001,2000.0,-7012.209999999999,6897.53,-6437.99,6756.11,-4720.21,3849.63,-1205.8799999999999,1436.8799999999999,-1956.26,2657.0699999999997,-3126.04,3121.5
120,2020-11-17,-32.45,0.0,-32.45,42816.610000000015,-25976.64,1.55,-1991.3500000000001,2000.0,-7012.209999999999,6897.53,-6437.99,6756.11,-4720.21,3849.63,-1205.8799999999999,1436.8799999999999,-1956.26,2657.0699999999997
150,2020-12-17,-534.1800000000001,1.55,-535.73,17343.250000000007,-1482.93,0.0,-25976.64,1.55,-1991.3500000000001,2000.0,-7012.209999999999,6897.53,-6437.99,6756.11,-4720.21,3849.63,-1205.8799999999999,1436.8799999999999
180,2021-01-16,0.0,0.0,0.0,15547.940000000006,-220.87,441.74,-1482.93,0.0,-25976.64,1.55,-1991.3500000000001,2000.0,-7012.209999999999,6897.53,-6437.99,6756.11,-4720.21,3849.63
210,2021-02-15,0.0,0.0,0.0,15553.010000000007,-11699.370000000003,11792.0,-220.87,441.74,-1482.93,0.0,-25976.64,1.55,-1991.3500000000001,2000.0,-7012.209999999999,6897.53,-6437.99,6756.11
240,2021-03-17,-53.61,0.0,-53.61,15693.250000000004,-5738.969999999999,5652.0,-11699.370000000003,11792.0,-220.87,441.74,-1482.93,0.0,-25976.64,1.55,-1991.3500000000001,2000.0,-7012.209999999999,6897.53
270,2021-04-16,6.0,156.0,-150.0,15546.670000000007,-4867.5599999999995,750.0,-5738.969999999999,5652.0,-11699.370000000003,11792.0,-220.87,441.74,-1482.93,0.0,-25976.64,1.55,-1991.3500000000001,2000.0
300,2021-05-16,-359.44,0.0,-359.44,11794.550000000001,-10207.7,7500.610000000001,-4867.5599999999995,750.0,-5738.969999999999,5652.0,-11699.370000000003,11792.0,-220.87,441.74,-1482.93,0.0,-25976.64,1.55
0,2019-06-29,0.0,0.0,0.0,1720.670000000001,-422.17999999999995,557.04,-7.04,7.04,-207.04,7.04,-377.1,360.04,-964.91,7.04,-591.26,1242.04,-516.04,210.04
30,2019-07-29,-60.0,7.04,-67.03999999999999,1915.5300000000007,-1948.32,2477.24,-422.17999999999995,557.04,-7.04,7.04,-207.04,7.04,-377.1,360.04,-964.91,7.04,-591.26,1242.04
60,2019-08-28,-43.2,77.24000000000001,-120.44,2427.6500000000015,-649.0,700.0,-1948.32,2477.24,-422.17999999999995,557.04,-7.04,7.04,-207.04,7.04,-377.1,360.04,-964.91,7.04
90,2019-09-27,-37.79,0.0,-37.79,2473.2400000000016,-877.26,430.04,-649.0,700.0,-1948.32,2477.24,-422.17999999999995,557.04,-7.04,7.04,-207.04,7.04,-377.1,360.04
120,2019-10-27,0.0,0.0,0.0,1989.0300000000013,-1219.76,1907.04,-877.26,430.04,-649.0,700.0,-1948.32,2477.24,-422.17999999999995,557.04,-7.04,7.04,-207.04,7.04
150,2019-11-26,0.0,0.0,0.0,2275.5100000000016,-966.5799999999999,349.14,-1219.76,1907.04,-877.26,430.04,-649.0,700.0,-1948.32,2477.24,-422.17999999999995,557.04,-7.04,7.04
180,2019-12-26,0.0,0.0,0.0,2072.0700000000015,-2695.5099999999998,2375.4799999999996,-966.5799999999999,349.14,-1219.76,1907.04,-877.26,430.04,-649.0,700.0,-1948.32,2477.24,-422.17999999999995,557.04
210,2020-01-25,0.0,0.0,0.0,1946.3400000000017,-3966.3599999999997,3406.0099999999998,-2695.5099999999998,2375.4799999999996,-966.5799999999999,349.14,-1219.76,1907.04,-877.26,430.04,-649.0,700.0,-1948.32,2477.24
240,2020-02-24,-158.72,0.0,-158.72,1336.4100000000021,-2920.49,4022.76,-3966.3599999999997,3406.0099999999998,-2695.5099999999998,2375.4799999999996,-966.5799999999999,349.14,-1219.76,1907.04,-877.26,430.04,-649.0,700.0
270,2020-03-25,0.0,0.0,0.0,2291.2600000000025,-1423.73,884.86,-2920.49,4022.76,-3966.3599999999997,3406.0099999999998,-2695.5099999999998,2375.4799999999996,-966.5799999999999,349.14,-1219.76,1907.04,-877.26,430.04
300,2020-04-24,0.0,0.0,0.0,1821.0900000000026,-3253.6099999999997,3765.31,-1423.73,884.86,-2920.49,4022.76,-3966.3599999999997,3406.0099999999998,-2695.5099999999998,2375.4799999999996,-966.5799999999999,349.14,-1219.76,1907.04
330,2020-05-24,0.0,0.0,0.0,2260.7900000000022,-1204.8,1917.1399999999999,-3253.6099999999997,3765.31,-1423.73,884.86,-2920.49,4022.76,-3966.3599999999997,3406.0099999999998,-2695.5099999999998,2375.4799999999996,-966.5799999999999,349.14
360,2020-06-23,0.0,0.0,0.0,2971.230000000002,-1241.8899999999999,7.04,-1204.8,1917.1399999999999,-3253.6099999999997,3765.31,-1423.73,884.86,-2920.49,4022.76,-3966.3599999999997,3406.0099999999998,-2695.5099999999998,2375.4799999999996
390,2020-07-23,-11.1,0.0,-11.1,1741.3800000000012,-1056.5,659.5899999999999,-1241.8899999999999,7.04,-1204.8,1917.1399999999999,-3253.6099999999997,3765.31,-1423.73,884.86,-2920.49,4022.76,-3966.3599999999997,3406.0099999999998
420,2020-08-22,0.0,0.0,0.0,1381.370000000001,-2199.8199999999997,3604.04,-1056.5,659.5899999999999,-1241.8899999999999,7.04,-1204.8,1917.1399999999999,-3253.6099999999997,3765.31,-1423.73,884.86,-2920.49,4022.76
450,2020-09-21,-656.0,0.0,-656.0,3393.590000000001,-2144.84,500.0,-2199.8199999999997,3604.04,-1056.5,659.5899999999999,-1241.8899999999999,7.04,-1204.8,1917.1399999999999,-3253.6099999999997,3765.31,-1423.73,884.86
480,2020-10-21,-80.0,0.0,-80.0,1172.750000000001,-958.69,2150.0,-2144.84,500.0,-2199.8199999999997,3604.04,-1056.5,659.5899999999999,-1241.8899999999999,7.04,-1204.8,1917.1399999999999,-3253.6099999999997,3765.31
510,2020-11-20,930.0,1000.0,-70.0,1354.0600000000009,-1811.51,3600.0,-958.69,2150.0,-2144.84,500.0,-2199.8199999999997,3604.04,-1056.5,659.5899999999999,-1241.8899999999999,7.04,-1204.8,1917.1399999999999
540,2020-12-20,0.0,0.0,0.0,5572.550000000001,-2576.48,1086.6599999999999,-1811.51,3600.0,-958.69,2150.0,-2144.84,500.0,-2199.8199999999997,3604.04,-1056.5,659.5899999999999,-1241.8899999999999,7.04
570,2021-01-19,0.0,0.0,0.0,2550.1100000000006,-1794.5,1585.25,-2576.48,1086.6599999999999,-1811.51,3600.0,-958.69,2150.0,-2144.84,500.0,-2199.8199999999997,3604.04,-1056.5,659.5899999999999
600,2021-02-18,0.0,0.0,0.0,873.4800000000005,-923.85,4504.0,-1794.5,1585.25,-2576.48,1086.6599999999999,-1811.51,3600.0,-958.69,2150.0,-2144.84,500.0,-2199.8199999999997,3604.04
630,2021-03-20,0.0,0.0,0.0,6253.63,-3361.87,1104.0,-923.85,4504.0,-1794.5,1585.25,-2576.48,1086.6599999999999,-1811.51,3600.0,-958.69,2150.0,-2144.84,500.0
660,2021-04-19,-300.0,0.0,-300.0,3995.76,-2177.5,5304.0,-3361.87,1104.0,-923.85,4504.0,-1794.5,1585.25,-2576.48,1086.6599999999999,-1811.51,3600.0,-958.69,2150.0
690,2021-05-19,0.0,0.0,0.0,7122.26,-5329.12,25.99,-2177.5,5304.0,-3361.87,1104.0,-923.85,4504.0,-1794.5,1585.25,-2576.48,1086.6599999999999,-1811.51,3600.0
0,2021-01-18,108.71000000000001,161.19,-52.48,1490.4800000000089,-2521.44,5717.2,-2852.4500000000003,581.88,-1257.16,4842.6,-2565.51,406.86,-687.64,2004.07,-999.93,2000.0,-188.9,0.0
30,2021-02-17,-15.0,0.0,-15.0,4809.950000000009,-4359.08,5089.250000000001,-2521.44,5717.2,-2852.4500000000003,581.88,-1257.16,4842.6,-2565.51,406.86,-687.64,2004.07,-999.93,2000.0
60,2021-03-19,-29.7,0.0,-29.7,5554.820000000008,-5127.6,4566.32,-4359.08,5089.250000000001,-2521.44,5717.2,-2852.4500000000003,581.88,-1257.16,4842.6,-2565.51,406.86,-687.64,2004.07
90,2021-04-18,-228.68,0.0,-228.68,5192.520000000008,-4884.95,4327.469999999999,-5127.6,4566.32,-4359.08,5089.250000000001,-2521.44,5717.2,-2852.4500000000003,581.88,-1257.16,4842.6,-2565.51,406.86
120,2021-05-18,-325.83,115.61,-441.44,4732.190000000007,-4112.150000000001,8653.970000000001,-4884.95,4327.469999999999,-5127.6,4566.32,-4359.08,5089.250000000001,-2521.44,5717.2,-2852.4500000000003,581.88,-1257.16,4842.6
0,2021-05-30,-6.83,0.0,-6.83,8359.210000000001,-18711.710000000003,10779.939999999999,-3255.3700000000003,2468.46,-8594.95,10153.310000000001,-4317.3,4400.21,-19864.29,19571.469999999998,-18289.36,11248.0,-12893.869999999999,12700.56
0,2021-01-02,0.0,0.0,0.0,6425.45,-8207.45,1800.0,-9770.32,3225.88,-3027.47,5250.0,-4340.77,719.28,-4722.83,4727.86,-2750.17,2760.0,-761.0299999999999,759.37
30,2021-02-01,0.0,0.0,0.0,0.9499999999997726,-1250.0,1250.0,-8207.45,1800.0,-9770.32,3225.88,-3027.47,5250.0,-4340.77,719.28,-4722.83,4727.86,-2750.17,2760.0
60,2021-03-03,0.0,0.0,0.0,1231.9999999999998,-200.0,200.0,-1250.0,1250.0,-8207.45,1800.0,-9770.32,3225.88,-3027.47,5250.0,-4340.77,719.28,-4722.83,4727.86
90,2021-04-02,0.0,0.0,0.0,141.84999999999985,-291.0,291.85,-200.0,200.0,-1250.0,1250.0,-8207.45,1800.0,-9770.32,3225.88,-3027.47,5250.0,-4340.77,719.28
120,2021-05-02,0.0,0.0,0.0,-1.4299672557172016e-13,-3416.95,3547.0,-291.0,291.85,-200.0,200.0,-1250.0,1250.0,-8207.45,1800.0,-9770.32,3225.88,-3027.47,5250.0
0,2021-01-17,0.0,0.0,0.0,9295.89,-11300.55,2171.66,-8916.139999999998,13071.43,-11779.099999999999,14961.900000000001,-20288.91,14709.82,-10235.44,6902.16,-2983.51,602.4,-463.15000000000003,450.0
30,2021-02-16,0.0,0.0,0.0,550.78,-630.6,601.63,-11300.55,2171.66,-8916.139999999998,13071.43,-11779.099999999999,14961.900000000001,-20288.91,14709.82,-10235.44,6902.16,-2983.51,602.4
0,2020-10-10,21.5,21.5,0.0,-1251.1800000000003,-70.64,120.87,-149.97,167.18,-256.74,119.48,-801.0,250.47000000000003,-246.57,288.65,-773.99,372.14,-76.48,432.03
30,2020-11-09,0.0,0.0,0.0,-1136.4900000000002,-213.22000000000003,23.09,-70.64,120.87,-149.97,167.18,-256.74,119.48,-801.0,250.47000000000003,-246.57,288.65,-773.99,372.14
60,2020-12-09,0.0,0.0,0.0,-1285.5900000000004,-43.99,249.25,-213.22000000000003,23.09,-70.64,120.87,-149.97,167.18,-256.74,119.48,-801.0,250.47000000000003,-246.57,288.65
90,2021-01-08,-3.0,0.0,-3.0,-1161.3200000000006,-34.0,221.06,-43.99,249.25,-213.22000000000003,23.09,-70.64,120.87,-149.97,167.18,-256.74,119.48,-801.0,250.47000000000003
120,2021-02-07,0.0,0.0,0.0,-976.3300000000006,-109.35,597.56,-34.0,221.06,-43.99,249.25,-213.22000000000003,23.09,-70.64,120.87,-149.97,167.18,-256.74,119.48
150,2021-03-09,11.3,11.3,0.0,-500.35000000000036,-460.76,808.51,-109.35,597.56,-34.0,221.06,-43.99,249.25,-213.22000000000003,23.09,-70.64,120.87,-149.97,167.18
180,2021-04-08,77.66,100.54,-22.880000000000003,-218.96000000000015,-856.63,1082.1100000000001,-460.76,808.51,-109.35,597.56,-34.0,221.06,-43.99,249.25,-213.22000000000003,23.09,-70.64,120.87
210,2021-05-08,-9.9,0.0,-9.9,94.07999999999991,-305.57,461.20000000000005,-856.63,1082.1100000000001,-460.76,808.51,-109.35,597.56,-34.0,221.06,-43.99,249.25,-213.22000000000003,23.09
0,2020-05-12,0.0,0.0,0.0,452.71999999999906,-3664.2,4096.58,-2346.38,1966.5,-2665.1099999999997,3092.91,-2203.1000000000004,2849.2,-1387.15,910.1,-1488.0600000000002,1820.0,-441.3399999999999,385.1
30,2020-06-11,0.0,0.0,0.0,885.0999999999997,-3130.3599999999997,2756.2,-3664.2,4096.58,-2346.38,1966.5,-2665.1099999999997,3092.91,-2203.1000000000004,2849.2,-1387.15,910.1,-1488.0600000000002,1820.0
60,2020-07-11,0.0,0.0,0.0,441.26999999999975,-5054.219999999998,5464.32,-3130.3599999999997,2756.2,-3664.2,4096.58,-2346.38,1966.5,-2665.1099999999997,3092.91,-2203.1000000000004,2849.2,-1387.15,910.1
90,2020-08-10,427.0,427.0,0.0,339.03999999999996,-5308.41,5183.99,-5054.219999999998,5464.32,-3130.3599999999997,2756.2,-3664.2,4096.58,-2346.38,1966.5,-2665.1099999999997,3092.91,-2203.1000000000004,2849.2
120,2020-09-09,25.0,25.0,0.0,616.6199999999999,-2985.5299999999997,3754.7,-5308.41,5183.99,-5054.219999999998,5464.32,-3130.3599999999997,2756.2,-3664.2,4096.58,-2346.38,1966.5,-2665.1099999999997,3092.91
150,2020-10-09,90.0,90.0,0.0,1320.7899999999997,-5276.76,3597.93,-2985.5299999999997,3754.7,-5308.41,5183.99,-5054.219999999998,5464.32,-3130.3599999999997,2756.2,-3664.2,4096.58,-2346.38,1966.5
180,2020-11-08,0.0,0.0,0.0,341.96,-3072.38,4091.2,-5276.76,3597.93,-2985.5299999999997,3754.7,-5308.41,5183.99,-5054.219999999998,5464.32,-3130.3599999999997,2756.2,-3664.2,4096.58
210,2020-12-08,100.0,100.0,0.0,650.7800000000001,-2824.3300000000004,3184.0699999999997,-3072.38,4091.2,-5276.76,3597.93,-2985.5299999999997,3754.7,-5308.41,5183.99,-5054.219999999998,5464.32,-3130.3599999999997,2756.2
240,2021-01-07,700.0,700.0,0.0,410.5200000000002,-2907.46,2549.75,-2824.3300000000004,3184.0699999999997,-3072.38,4091.2,-5276.76,3597.93,-2985.5299999999997,3754.7,-5308.41,5183.99,-5054.219999999998,5464.32
270,2021-02-06,0.0,0.0,0.0,690.65,-2233.0,1506.3899999999999,-2907.46,2549.75,-2824.3300000000004,3184.0699999999997,-3072.38,4091.2,-5276.76,3597.93,-2985.5299999999997,3754.7,-5308.41,5183.99
300,2021-03-08,0.0,0.0,0.0,-455.9599999999998,-1402.29,1477.4399999999998,-2233.0,1506.3899999999999,-2907.46,2549.75,-2824.3300000000004,3184.0699999999997,-3072.38,4091.2,-5276.76,3597.93,-2985.5299999999997,3754.7
330,2021-04-07,-18.85,0.0,-18.85,120.20000000000022,-758.9399999999999,1140.1,-1402.29,1477.4399999999998,-2233.0,1506.3899999999999,-2907.46,2549.75,-2824.3300000000004,3184.0699999999997,-3072.38,4091.2,-5276.76,3597.93
360,2021-05-07,470.0,470.0,0.0,12.510000000000275,-1743.3500000000001,1260.1,-758.9399999999999,1140.1,-1402.29,1477.4399999999998,-2233.0,1506.3899999999999,-2907.46,2549.75,-2824.3300000000004,3184.0699999999997,-3072.38,4091.2
0,2020-06-23,0.0,0.0,0.0,106.60999999999956,-807.24,920.0,-821.9,920.0,-829.89,870.0,-1084.59,1020.0,-1321.8999999999999,1570.0,-821.89,670.0,-842.5899999999999,1220.0
30,2020-07-23,0.0,0.0,0.0,204.70999999999952,-801.3399999999999,924.3,-807.24,920.0,-821.9,920.0,-829.89,870.0,-1084.59,1020.0,-1321.8999999999999,1570.0,-821.89,670.0
60,2020-08-22,0.0,0.0,0.0,802.4199999999996,-1201.34,924.3,-801.3399999999999,924.3,-807.24,920.0,-821.9,920.0,-829.89,870.0,-1084.59,1020.0,-1321.8999999999999,1570.0
90,2020-09-21,0.0,0.0,0.0,40.429999999999666,-1101.33,1624.3,-1201.34,924.3,-801.3399999999999,924.3,-807.24,920.0,-821.9,920.0,-829.89,870.0,-1084.59,1020.0
120,2020-10-21,0.0,0.0,0.0,752.6499999999996,-1303.33,924.3,-1101.33,1624.3,-1201.34,924.3,-801.3399999999999,924.3,-807.24,920.0,-821.9,920.0,-829.89,870.0
150,2020-11-20,0.0,0.0,0.0,184.35999999999973,-985.5799999999999,924.3,-1303.33,924.3,-1101.33,1624.3,-1201.34,924.3,-801.3399999999999,924.3,-807.24,920.0,-821.9,920.0
180,2020-12-20,0.0,0.0,0.0,97.3299999999997,-1185.58,824.3,-985.5799999999999,924.3,-1303.33,924.3,-1101.33,1624.3,-1201.34,924.3,-801.3399999999999,924.3,-807.24,920.0
210,2021-01-19,0.0,0.0,0.0,351.0599999999998,-816.65,1424.3,-1185.58,824.3,-985.5799999999999,924.3,-1303.33,924.3,-1101.33,1624.3,-1201.34,924.3,-801.3399999999999,924.3
240,2021-02-18,0.0,0.0,0.0,343.6999999999997,-1016.65,1124.3,-816.65,1424.3,-1185.58,824.3,-985.5799999999999,924.3,-1303.33,924.3,-1101.33,1624.3,-1201.34,924.3
270,2021-03-20,0.0,0.0,0.0,766.3599999999997,-1854.1699999999998,1310.0,-1016.65,1124.3,-816.65,1424.3,-1185.58,824.3,-985.5799999999999,924.3,-1303.33,924.3,-1101.33,1624.3
300,2021-04-19,0.0,0.0,0.0,489.7199999999998,-843.1099999999999,930.0,-1854.1699999999998,1310.0,-1016.65,1124.3,-816.65,1424.3,-1185.58,824.3,-985.5799999999999,924.3,-1303.33,924.3
330,2021-05-19,0.0,0.0,0.0,55.89999999999992,-1518.1,1605.0,-843.1099999999999,930.0,-1854.1699999999998,1310.0,-1016.65,1124.3,-816.65,1424.3,-1185.58,824.3,-985.5799999999999,924.3
0,2020-08-12,-50.44,0.0,-50.44,44152.19999999996,-4369.740000000001,10727.96,-6536.24,5864.94,-1321.72,7312.009999999999,-2123.21,2496.07,-268.0,746.1399999999999,-268.0,2456.3199999999997,-18.0,447.54
30,2020-09-11,0.0,0.0,0.0,50510.32999999996,-5455.51,2160.49,-4369.740000000001,10727.96,-6536.24,5864.94,-1321.72,7312.009999999999,-2123.21,2496.07,-268.0,746.1399999999999,-268.0,2456.3199999999997
60,2020-10-11,0.0,0.0,0.0,47172.909999999974,-3346.5899999999997,2937.69,-5455.51,2160.49,-4369.740000000001,10727.96,-6536.24,5864.94,-1321.72,7312.009999999999,-2123.21,2496.07,-268.0,746.1399999999999
90,2020-11-10,14.08,14.08,0.0,46741.97999999999,-7680.6399999999985,8016.41,-3346.5899999999997,2937.69,-5455.51,2160.49,-4369.740000000001,10727.96,-6536.24,5864.94,-1321.72,7312.009999999999,-2123.21,2496.07
120,2020-12-10,0.0,0.0,0.0,42315.05999999998,-8576.449999999999,1981.6699999999998,-7680.6399999999985,8016.41,-3346.5899999999997,2937.69,-5455.51,2160.49,-4369.740000000001,10727.96,-6536.24,5864.94,-1321.72,7312.009999999999
